x,l,abs_err_forward,rel_err_forward,abs_err_back,rel_err_back,rel_err_sph_forward,rel_err_sph_back
0.9,26,3.648272547777942e-16,9.666730955684232e-15,7.768698240657425e-02,2.058451357042191e+00,9.676598422657256e-15,2.058451357042191e+00
0.9,27,2.695868701885207e-16,2.034424305782360e-15,2.542826612307687e-02,1.918931831454326e-01,2.009126862614041e-15,1.918931831454327e-01
0.9,28,1.174462003344923e-16,5.935501269958261e-16,2.995890542447142e-02,1.514064488140669e-01,4.599419216986363e-16,1.514064488140668e-01
0.9,29,7.204523436166177e-17,3.244063560076691e-16,7.754769999039774e-02,3.491829403229472e-01,3.686010728020401e-16,3.491829403229472e-01
0.9,30,2.378332990618515e-16,1.178487057619199e-15,1.082991537393484e-01,5.366328076698056e-01,1.223277264831230e-15,5.366328076698056e-01
0.9,31,3.366447745567491e-16,2.362686026378960e-15,1.167481464702675e-01,8.193776797341800e-01,2.426992901253258e-15,8.193776797341800e-01
0.9,32,3.615949770510718e-16,6.348455900403631e-15,1.019483168420115e-01,1.789887677285059e+00,6.334106603952451e-15,1.789887677285059e+00
0.9,33,3.163837464584263e-16,8.506006531264276e-15,6.751623782451862e-02,1.815180350856650e+00,8.568468270228863e-15,1.815180350856650e+00
0.9,34,2.159730727591125e-16,1.781225261787759e-15,2.079219661859098e-02,1.714824232111576e-01,1.794480331365576e-15,1.714824232111576e-01
0.9,35,7.855044739657480e-17,4.388316557853165e-16,2.869590502911811e-02,1.603131737061907e-01,4.031906207163712e-16,1.603131737061906e-01
0.9,36,5.469799960189370e-17,2.737067348869182e-16,7.114986702809256e-02,3.560312613557333e-01,2.947069635773525e-16,3.560312613557332e-01
0.9,37,2.005774019098183e-16,1.110047158421830e-15,9.841874818101159e-02,5.446747774850793e-01,1.127467399169249e-15,5.446747774850793e-01
0.9,38,2.845082025873524e-16,2.251129733446713e-15,1.055452742678647e-01,8.351116170586660e-01,2.286154624578543e-15,8.351116170586660e-01
0.9,39,3.029633564421291e-16,6.244577549935948e-15,9.165064297139956e-02,1.889071847689669e+00,6.282026591789636e-15,1.889071847689669e+00
